Date,Value
12/31/2024,39.998
12/31/2023,40.618
12/31/2022,41.233
12/31/2021,41.759
12/31/2020,42.281
12/31/2019,43.034
12/31/2018,44.222
12/31/2017,44.643
12/31/2016,44.142
12/31/2015,44.748
12/31/2014,46.775
12/31/2013,47.251
12/31/2012,47.18
12/31/2011,48.006
12/31/2010,47.881
12/31/2009,46.335
12/31/2008,43.21
12/31/2007,41.239
12/31/2006,40.606
12/31/2005,40.982
12/31/2004,42.657
12/31/2003,40.369
12/31/2002,36.903
12/31/2001,36.296
12/31/2000,34.328
12/31/1999,34.865
12/31/1998,35.557
12/31/1997,36.197
12/31/1996,38.219
12/31/1995,39.556
12/31/1994,40.793
12/31/1993,43.963
12/31/1992,39.634
12/31/1991,35.674
12/31/1990,34.38
12/31/1989,37.511
12/31/1988,39.527
12/31/1987,37.78
12/31/1986,38.209
12/31/1985,39.536
12/31/1984,34.852
12/31/1983,32.381
12/31/1982,32.428
12/31/1981,33.544
12/31/1980,35.476
